event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-22 10:06:04 UTC,view,1005239,2053013555631882655,electronics.smartphone,xiaomi,259.59,554750787,eaba6ca1-cf9e-4488-8ef0-a64a404d84a7
2019-11-15 04:51:00 UTC,view,15100147,2053013557024391671,,lider,437.31,544496486,b590885a-adba-4e9b-8ba7-a2072a801ee8
2019-11-16 12:39:26 UTC,view,1005205,2053013555631882655,electronics.smartphone,oppo,231.64,546966744,c9430871-80a2-485b-869d-3b42a7c8dbde
2019-11-22 17:44:28 UTC,view,1005238,2053013555631882655,electronics.smartphone,oppo,308.63,522223749,d4777725-12e6-473e-b692-cc9fb48ebd05
2019-11-25 06:02:46 UTC,view,4300047,2053013552385491165,,boneco,47.42,517400544,7be2f1bd-13b7-46c9-8680-c315dedb3793
2019-11-07 19:03:19 UTC,view,10400301,2053013553257906447,kids.toys,,24.16,561802088,50ea2ef3-0ce7-4932-8de2-5a7d7b574639
2019-11-15 17:53:21 UTC,view,12709556,2053013553559896355,,viatti,40.16,560730945,16be8bb1-be24-4fed-a089-22837c8d89b6
2019-11-17 05:13:55 UTC,view,3800033,2053013566176363511,appliances.iron,braun,64.33,517606025,3061c32f-2a27-45b6-9d71-28f15e6266b1
2019-11-03 05:31:52 UTC,view,13104699,2053013553526341921,,,223.43,545782229,d4f085ea-8a7d-4db3-a00f-8624e242c06c
2019-11-15 06:48:42 UTC,view,2240125,2053013560555995845,,canon,401.53,537618821,7d9b90b6-abed-4e61-95c7-2205b6c24b6e
2019-11-17 14:08:33 UTC,view,1004249,2053013555631882655,electronics.smartphone,apple,795.9,520430681,818f6ae5-64aa-45dc-9c2f-ef832a75e2b4
2019-11-16 23:11:09 UTC,view,7004001,2053013560346280633,kids.carriage,alis,128.68,516350985,8ad826e3-7e21-4d35-8ca5-ada6482cae90
2019-11-21 04:00:05 UTC,view,25510209,2053013562250494749,,gerat,15.7,567683555,4c4afe02-a0e1-43e9-a96e-ed026c83e8bd
